"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 12 17:13:30 SAST 2024","Mon Aug 12 17:13:30 SAST 2024","640","Default Suite","Demo","Tests.BuyCheapPC","Tests.BuyCheapPC","ClickComputers","ClickComputers",""
"passed","Mon Aug 12 17:13:30 SAST 2024","Mon Aug 12 17:13:31 SAST 2024","794","Default Suite","Demo","Tests.BuyCheapPC","Tests.BuyCheapPC","ClickDesktops","ClickDesktops",""
